,Date,Code,Value,Source
7,31/01,VJC,2,TD
8,31/01,DGC,1,TD
9,01/02,VPB,38,TD
10,01/02,GMD,15,TD
11,01/02,VIB,9,TD
12,01/02,HT1,2,TD
13,01/02,NBB,2,TD
14,01/02,PTB,1,TD
15,01/02,HDG,1,TD
16,01/02,VCI,0,TD
17,01/02,SZC,0,TD
18,02/02,MWG,37,TD
19,02/02,VPB,27,TD
20,02/02,GMD,23,TD
21,02/02,FPT,23,TD
22,02/02,VNM,23,TD
23,02/02,MSN,22,TD
24,02/02,VIC,19,TD
25,02/02,ACB,18,TD
26,02/02,MBB,17,TD
27,03/02,GMD,161,TD
28,03/02,OCB,41,TD
29,03/02,MWG,16,TD
30,03/02,DXS,6,TD
31,03/02,NVL,2,TD
32,03/02,EIB,2,TD
33,03/02,FUES,1,TD
34,03/02,PNJ,1,TD
35,03/02,REE,1,TD
36,06/02,MWG,20,TD
37,06/02,GMD,8,TD
38,06/02,OCB,7,TD
39,06/02,KDH,3,TD
40,06/02,DXS,2,TD
41,06/02,FUES,2,TD
42,06/02,FUES,2,TD
43,06/02,PNJ,1,TD
44,06/02,PVD,1,TD
45,07/02,HPG,5,TD
46,07/02,VCB,2,TD
47,07/02,FUES,1,TD
48,07/02,HT1,1,TD
49,07/02,SAB,1,TD
50,07/02,SSI,1,TD
51,07/02,VIC,1,TD
52,07/02,VNM,0,TD
53,07/02,BID,0,TD
54,08/02,HPG,35,TD
55,08/02,VHM,20,TD
56,08/02,STB,19,TD
57,08/02,FPT,18,TD
58,08/02,VPB,18,TD
59,08/02,MWG,17,TD
60,08/02,VNM,16,TD
61,08/02,MSN,16,TD
62,08/02,ACB,14,TD
63,09/02,VSC,109,TD
64,09/02,BCM,84,TD
65,09/02,KDH,6,TD
66,09/02,FUES,1,TD
67,09/02,HDB,1,TD
68,09/02,EIB,0,TD
69,09/02,REE,0,TD
70,09/02,NLG,0,TD
71,09/02,LDG,0,TD
72,10/02,KDH,18,TD
73,10/02,EIB,15,TD
74,10/02,DXS,3,TD
75,10/02,REE,1,TD
76,10/02,TCH,1,TD
77,10/02,PNJ,0,TD
78,10/02,GMD,0,TD
79,10/02,FUEM,0,TD
80,10/02,FUES,0,TD
0,31/01,MBB,-7,TD
1,31/01,HPG,-7,TD
2,31/01,VCI,-6,TD
3,31/01,FPT,-5,TD
4,31/01,PVD,-5,TD
5,31/01,SSI,-4,TD
6,31/01,HSG,-3,TD
7,31/01,LPB,-3,TD
8,31/01,BCM,-3,TD
9,01/02,HPG,-42,TD
10,01/02,VNM,-31,TD
11,01/02,VCB,-30,TD
12,01/02,STB,-27,TD
13,01/02,VIC,-25,TD
14,01/02,MSN,-25,TD
15,01/02,VHM,-25,TD
16,01/02,SSI,-21,TD
17,01/02,MWG,-19,TD
18,02/02,FUEV,-29,TD
19,02/02,E1VF,-24,TD
20,02/02,FUES,-4,TD
21,02/02,VIB,-2,TD
22,02/02,BCM,-2,TD
23,02/02,HSG,-1,TD
24,02/02,DCM,0,TD
25,02/02,DPM,0,TD
26,02/02,FUEV,0,TD
27,03/02,FUEV,-19,TD
28,03/02,BCM,-15,TD
29,03/02,HPG,-12,TD
30,03/02,E1VF,-11,TD
31,03/02,FUES,-7,TD
32,03/02,STB,-6,TD
33,03/02,MSN,-6,TD
34,03/02,VHM,-6,TD
35,03/02,VIC,-6,TD
36,06/02,FPT,-21,TD
37,06/02,VCB,-14,TD
38,06/02,VPB,-14,TD
39,06/02,ACB,-11,TD
40,06/02,FUEV,-11,TD
41,06/02,MSN,-11,TD
42,06/02,VNM,-10,TD
43,06/02,VIC,-10,TD
44,06/02,SSI,-9,TD
45,07/02,GMD,-198,TD
46,07/02,BCM,-93,TD
47,07/02,E1VF,-73,TD
48,07/02,OCB,-66,TD
49,07/02,STB,-22,TD
50,07/02,VPB,-21,TD
51,07/02,FUEV,-14,TD
52,07/02,MBB,-8,TD
53,07/02,NVL,-8,TD
54,08/02,FUEV,-15,TD
55,08/02,E1VF,-7,TD
56,08/02,GMD,-4,TD
57,08/02,BVH,-2,TD
58,08/02,OCB,-1,TD
59,08/02,VCI,-1,TD
60,08/02,HCM,-1,TD
61,08/02,SZC,0,TD
62,08/02,VND,0,TD
63,09/02,E1VF,-15,TD
64,09/02,VPB,-11,TD
65,09/02,FUEV,-9,TD
66,09/02,HPG,-9,TD
67,09/02,GMD,-7,TD
68,09/02,STB,-4,TD
69,09/02,VHM,-4,TD
70,09/02,VCB,-4,TD
71,09/02,TCB,-4,TD
72,10/02,VPB,-20,TD
73,10/02,HPG,-19,TD
74,10/02,VNM,-16,TD
75,10/02,VIC,-13,TD
76,10/02,MSN,-12,TD
77,10/02,TCB,-12,TD
78,10/02,VHM,-12,TD
79,10/02,VCB,-11,TD
80,10/02,ACB,-10,TD
